month,medicine,demand
2023-01,Amoxiclav 625mg Tablets,181
2023-02,Amoxiclav 625mg Tablets,246
2023-03,Amoxiclav 625mg Tablets,166
2023-04,Amoxiclav 625mg Tablets,175
2023-05,Amoxiclav 625mg Tablets,187
2023-06,Amoxiclav 625mg Tablets,226
2023-07,Amoxiclav 625mg Tablets,190
2023-08,Amoxiclav 625mg Tablets,202
2023-09,Amoxiclav 625mg Tablets,194
2023-10,Amoxiclav 625mg Tablets,169
2023-11,Amoxiclav 625mg Tablets,169
2023-12,Amoxiclav 625mg Tablets,225
2024-01,Amoxiclav 625mg Tablets,220
2024-02,Amoxiclav 625mg Tablets,241
2024-03,Amoxiclav 625mg Tablets,163
2024-04,Amoxiclav 625mg Tablets,163
2024-05,Amoxiclav 625mg Tablets,168
2024-06,Amoxiclav 625mg Tablets,188
2024-07,Amoxiclav 625mg Tablets,179
2024-08,Amoxiclav 625mg Tablets,193
2024-09,Amoxiclav 625mg Tablets,166
2024-10,Amoxiclav 625mg Tablets,184
2024-11,Amoxiclav 625mg Tablets,142
2024-12,Amoxiclav 625mg Tablets,230
2025-01,Amoxiclav 625mg Tablets,259
2025-02,Amoxiclav 625mg Tablets,231
2025-03,Amoxiclav 625mg Tablets,165
2025-04,Amoxiclav 625mg Tablets,165
2025-05,Amoxiclav 625mg Tablets,154
2025-06,Amoxiclav 625mg Tablets,187
2025-07,Amoxiclav 625mg Tablets,196
2025-08,Amoxiclav 625mg Tablets,216
2025-09,Amoxiclav 625mg Tablets,178
2025-10,Amoxiclav 625mg Tablets,181
